,hour,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar,date
4525,9,74.89999999999999,55.190909090909095,50.36363636363637,0.0,0.0,29.992727272727276,0.0,0.0,3.090909090909091,567.7272727272727,2022-07-11
4526,10,77.2,54.55833333333334,45.75,0.0,0.0,29.978333333333335,0.0,0.0,4.666666666666667,711.4166666666666,2022-07-11
4527,11,78.78333333333333,56.36666666666667,46.25,0.0,0.0,29.96166666666667,0.0,0.0,6.166666666666667,805.0,2022-07-11
4528,12,81.27272727272727,56.98181818181818,43.54545454545455,0.0,0.0,29.94818181818182,0.0,0.0,7.0,852.2727272727273,2022-07-11
4529,13,80.72500000000001,58.300000000000004,46.416666666666664,0.0,0.0,29.933333333333334,0.0,0.0,7.0,850.4166666666666,2022-07-11
4530,14,80.375,58.09166666666667,46.666666666666664,0.0,0.0,29.915000000000003,0.0,0.0,6.0,797.25,2022-07-11
4531,15,80.21666666666667,58.875,48.25,0.0,0.0,29.91,0.0,0.0,4.333333333333333,695.5,2022-07-11
4532,16,79.13333333333334,59.13333333333333,50.416666666666664,0.0,0.0,29.889166666666668,0.0,0.0,2.8333333333333335,555.0,2022-07-11
4533,17,77.54166666666667,58.041666666666664,51.166666666666664,0.0,0.0,29.872500000000002,0.0,0.0,1.5,388.8333333333333,2022-07-11
4534,18,75.675,58.0,54.25,0.0,0.0,29.860833333333332,0.0,0.0,0.6666666666666666,220.41666666666666,2022-07-11
4535,19,74.83333333333333,57.4,54.833333333333336,0.0,0.0,29.866666666666664,0.0,0.0,0.0,58.833333333333336,2022-07-11
4536,20,73.66666666666667,58.50833333333333,59.25,0.0,0.0,29.863333333333333,0.0,0.0,0.0,4.583333333333333,2022-07-11
4537,21,72.86666666666666,60.225,64.66666666666667,0.0,0.0,29.86,0.0,0.0,0.0,0.0,2022-07-11
4538,22,72.81666666666668,60.03333333333333,64.25,0.0,0.0,29.861666666666665,0.0,0.0,0.0,0.0,2022-07-11
4539,23,72.52499999999999,57.85833333333333,60.0,0.0,0.0,29.855833333333333,0.0,0.0,0.0,0.0,2022-07-11
4540,0,72.125,56.0,56.833333333333336,0.0,0.0,29.858333333333334,0.0,0.0,0.0,0.0,2022-07-12
4541,1,71.19166666666666,57.31666666666666,61.583333333333336,0.0,0.0,29.871666666666666,0.0,0.0,0.0,0.0,2022-07-12
4542,2,70.61666666666666,59.875,68.91666666666667,0.0,0.0,29.8625,0.0,0.0,0.0,0.0,2022-07-12
4543,3,70.2,61.725,74.5,0.0,0.0,29.850833333333338,0.0,0.0,0.0,0.0,2022-07-12
4544,4,70.25833333333334,63.425000000000004,79.0,0.0,0.0,29.8325,0.0,0.0,0.0,0.0,2022-07-12
4545,5,70.30833333333332,64.54166666666667,81.83333333333333,0.0,0.0,29.83,0.0,0.0,0.0,4.75,2022-07-12
4546,6,70.76666666666667,65.35833333333333,83.0,0.0,0.0,29.83,0.0,0.0,0.0,78.33333333333333,2022-07-12
4547,7,71.80833333333334,65.5,80.58333333333333,0.0,0.0,29.82166666666667,0.0,0.0,0.6666666666666666,249.75,2022-07-12
4548,8,74.35000000000001,65.55833333333332,74.0,0.0,0.0,29.801666666666666,0.0,0.0,1.6666666666666667,399.9166666666667,2022-07-12
4549,9,76.63333333333334,65.88333333333334,69.5,0.0,0.0,29.787499999999998,0.0,0.0,3.3333333333333335,600.3333333333334,2022-07-12
4550,10,79.21666666666667,65.93333333333334,63.916666666666664,0.0,0.0,29.771666666666665,0.0,0.0,4.833333333333333,697.1666666666666,2022-07-12
4551,11,81.85000000000001,66.02499999999999,58.75,0.0,0.0,29.763333333333335,0.0,0.0,6.5,814.6666666666666,2022-07-12
4552,12,84.125,67.02499999999999,56.666666666666664,0.0,0.0,29.75,0.0,0.0,7.0,858.5,2022-07-12
4553,13,84.425,68.825,59.583333333333336,0.0,0.0,29.741666666666664,0.0,0.0,7.0,834.8333333333334,2022-07-12
4554,14,84.8,69.74166666666666,60.833333333333336,0.0,0.0,29.7225,0.0,0.0,5.916666666666667,773.4166666666666,2022-07-12
4555,15,86.25,70.35000000000001,59.166666666666664,0.0,0.0,29.7025,0.0,0.0,4.333333333333333,700.4166666666666,2022-07-12
4556,16,86.60000000000001,70.45833333333333,58.666666666666664,0.0,0.0,29.685000000000002,0.0,0.0,2.6666666666666665,541.4166666666666,2022-07-12
4557,17,84.96666666666667,70.40833333333333,61.833333333333336,0.0,0.0,29.685833333333335,0.0,0.0,1.25,218.58333333333334,2022-07-12
4558,18,83.86666666666666,70.325,63.916666666666664,0.0,0.0,29.685833333333335,0.0,0.0,0.3333333333333333,90.33333333333333,2022-07-12
4559,19,86.74166666666667,69.48333333333333,56.75,0.0,0.0,29.6875,0.0,0.0,0.0,27.0,2022-07-12
