,date,hour,Total Passengers,Amount of Trips,Total Distance,Average Distance,Total Fares,day_of_week,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar
54,2022-01-02,6,764.0,580,4085.8,6.720065789473685,18400.02,6,52.9,50.9,93.0,0.0,0.0,29.57166666666667,0.0025,0.02,0.0,0.0
55,2022-01-02,7,1232.0,874,5309.54,5.9523991031390135,24013.73,6,53.074999999999996,51.074999999999996,93.0,0.0,0.0,29.56833333333333,0.0,0.02,0.0,0.4166666666666667
56,2022-01-02,8,1852.0,1231,6904.44,5.514728434504792,33076.41,6,53.18333333333334,51.26666666666666,93.0,0.0,0.0,29.584166666666665,0.0025,0.023333333333333334,0.0,15.083333333333334
57,2022-01-02,9,2669.0,1829,8516.84,4.57894623655914,42449.08,6,53.68333333333334,51.699999999999996,93.0,0.0,0.0,29.605833333333333,0.008333333333333333,0.03,0.0,57.416666666666664
58,2022-01-02,10,3843.0,2609,11203.81,4.20247936984246,56614.28,6,54.375,52.300000000000004,92.75,0.0,0.0,29.62166666666667,0.0,0.03,0.0,78.0
59,2022-01-02,11,4781.0,3179,11556.1,3.5733147804576375,63946.41,6,55.083333333333336,52.625,91.41666666666667,0.0,0.0,29.613333333333333,0.0,0.03,0.4166666666666667,93.91666666666667
60,2022-01-02,12,5614.0,3791,121209.09,31.38505696530295,79776.61,6,56.40833333333333,52.916666666666664,88.0,0.0,0.0,29.604166666666668,0.0,0.03,0.9166666666666666,136.75
61,2022-01-02,13,6017.0,3995,14841.99,3.6601701602959307,82882.14,6,58.208333333333336,52.833333333333336,82.41666666666667,0.0,0.0,29.61,0.0,0.03,1.0,238.25
62,2022-01-02,14,6581.0,4411,18243.83,4.066836825679894,98698.3,6,58.19166666666666,50.916666666666664,76.83333333333333,0.0,0.0,29.64,0.0,0.03,0.08333333333333333,118.08333333333333
63,2022-01-02,15,6922.0,4586,18799.19,4.046317262160999,103156.08,6,52.699999999999996,47.199999999999996,81.75,0.0,0.0,29.674166666666668,0.0,0.03,0.0,49.083333333333336
64,2022-01-02,16,6695.0,4471,18326.08,4.048173183123482,101421.89,6,51.38333333333333,46.11666666666667,82.16666666666667,0.0,0.0,29.7175,0.0,0.03,0.0,5.416666666666667
65,2022-01-02,17,6813.0,4372,18415.37,4.142940382452193,101217.53,6,50.625,43.05833333333334,75.25,0.0,0.0,29.776666666666667,0.0,0.03,0.0,0.0
66,2022-01-02,18,6011.0,4024,16951.83,4.1416638162716835,90790.96,6,47.625,38.666666666666664,71.0,0.0,0.0,29.8325,0.0,0.03,0.0,0.0
67,2022-01-02,19,5556.0,3676,15794.58,4.237880332707271,82664.91,6,43.583333333333336,33.483333333333334,67.33333333333333,0.0,0.0,29.885833333333334,0.0,0.03,0.0,0.0
68,2022-01-02,20,4547.0,3037,14311.69,4.627122534755901,73019.23,6,40.09166666666667,30.233333333333334,67.75,0.0,0.0,29.923333333333332,0.0,0.03,0.0,0.0
69,2022-01-02,21,3882.0,2543,11700.93,4.514247685185185,59038.81,6,39.416666666666664,29.724999999999998,68.08333333333333,0.0,0.0,29.944166666666664,0.0,0.03,0.0,0.0
70,2022-01-02,22,3354.0,2263,13264.26,5.7570572916666665,61192.58,6,39.516666666666666,30.258333333333336,69.41666666666667,0.0,0.0,29.9725,0.0,0.03,0.0,0.0
